Date,Open,High,Low,Close,Volume
2024-10-16,231.6000,232.1200,229.8400,231.7800,34082240
2024-10-15,233.6100,237.4900,232.3700,233.8500,64751367
2024-10-14,228.7000,231.7300,228.6000,231.3000,39882085
2024-10-11,229.3000,229.4100,227.3400,227.5500,31759188
2024-10-10,227.7800,229.5000,227.1700,229.0400,28183544
2024-10-09,225.2300,229.7500,224.8300,229.5400,33591091
2024-10-08,224.3000,225.9800,223.2500,225.7700,31855693
2024-10-07,224.5000,225.6900,221.3300,221.6900,39505354
2024-10-04,227.9000,228.0000,224.1300,226.8000,37345098
2024-10-03,225.1400,226.8050,223.3200,225.6700,34044158
2024-10-02,225.8900,227.3700,223.0200,226.7800,32880605
2024-10-01,229.5200,229.6500,223.7400,226.2100,63285048
2024-09-30,230.0400,233.0000,229.6500,233.0000,54793391
2024-09-27,228.4600,229.5200,227.3000,227.7900,34025967
2024-09-26,227.3000,228.5000,225.4100,227.5200,36636707
2024-09-25,224.9300,227.2900,224.0200,226.3700,42308715
2024-09-24,228.6450,229.3500,225.7300,227.3700,43556068
2024-09-23,227.3400,229.4500,225.8100,226.4700,54146023
2024-09-20,229.9700,233.0900,227.6200,228.2000,318679888
2024-09-19,224.9900,229.8200,224.6300,228.8700,66781315
2024-09-18,217.5500,222.7100,217.5400,220.6900,59894928
2024-09-17,215.7500,216.9000,214.5000,216.7900,45519339
2024-09-16,216.5400,217.2200,213.9200,216.3200,59357427
2024-09-13,223.5800,224.0400,221.9100,222.5000,36766619
2024-09-12,222.5000,223.5500,219.8200,222.7700,37498225
2024-09-11,221.4550,223.0900,217.8900,222.6600,44587072
2024-09-10,218.9200,221.4800,216.7300,220.1100,51591033
2024-09-09,220.8200,221.2700,216.7100,220.9100,67179965
2024-09-06,223.9500,225.2400,219.7700,220.8200,48423011
2024-09-05,221.6250,225.4800,221.5200,222.3800,36615398
2024-09-04,221.6600,221.7800,217.4800,220.8500,43262758
2024-09-03,228.5500,229.0000,221.1700,222.7700,50190574
2024-08-30,230.1900,230.4000,227.4800,229.0000,52990770
2024-08-29,230.1000,232.9200,228.8800,229.7900,51906297
2024-08-28,227.9200,229.8600,225.6800,226.4900,38052167
2024-08-27,225.9950,228.8500,224.8900,228.0300,35934559
2024-08-26,226.7600,227.2800,223.8905,227.1800,30602208
2024-08-23,225.6589,228.2200,224.3300,226.8400,38677250
2024-08-22,227.7900,228.3400,223.9000,224.5300,43695321
2024-08-21,226.5200,227.9800,225.0500,226.4000,34765480
2024-08-20,225.7700,227.1700,225.4500,226.5100,30299033
2024-08-19,225.7200,225.9900,223.0400,225.8900,40687813
2024-08-16,223.9200,226.8271,223.6501,226.0500,44340240
2024-08-15,224.6000,225.3500,222.7600,224.7200,46414013
2024-08-14,220.5700,223.0300,219.7000,221.7200,41960574
2024-08-13,219.0100,221.8900,219.0100,221.2700,44155331
2024-08-12,216.0700,219.5099,215.6000,217.5300,38028092
2024-08-09,212.1000,216.7800,211.9700,216.2400,42201646
2024-08-08,213.1100,214.2000,208.8300,213.3100,47161149
2024-08-07,206.9000,213.6400,206.3900,209.8200,63516417
2024-08-06,205.3000,209.9900,201.0700,207.2300,69660488
2024-08-05,199.0900,213.5000,196.0000,209.2700,119548589
2024-08-02,219.1500,225.6000,217.7100,219.8600,105568560
2024-08-01,224.3700,224.4800,217.0200,218.3600,62500996
2024-07-31,221.4400,223.8200,220.6300,222.0800,50036262
2024-07-30,219.1900,220.3250,216.1200,218.8000,41643840
2024-07-29,216.9600,219.3000,215.7500,218.2400,36311778
2024-07-26,218.7000,219.4900,216.0100,217.9600,41601345
2024-07-25,218.9300,220.8500,214.6200,217.4900,51391199
2024-07-24,224.0000,224.8000,217.1300,218.5400,61777576
2024-07-23,224.3650,226.9400,222.6800,225.0100,39960260
2024-07-22,227.0100,227.7800,223.0900,223.9600,48201835
2024-07-19,224.8200,226.8000,223.2750,224.3100,49151453
2024-07-18,230.2800,230.4400,222.2700,224.1800,66034585
2024-07-17,229.4500,231.4599,226.6400,228.8800,57345884
2024-07-16,235.0000,236.2700,232.3300,234.8200,43234278
2024-07-15,236.4800,237.2300,233.0900,234.4000,62631252
2024-07-12,228.9200,232.6400,228.6800,230.5400,53046527
2024-07-11,231.3900,232.3900,225.7700,227.5700,64710617
2024-07-10,229.3000,233.0800,229.2500,232.9800,62627687
2024-07-09,227.9300,229.4000,226.3721,228.6800,48169822
2024-07-08,227.0900,227.8500,223.2500,227.8200,59085861
2024-07-05,221.6500,226.4500,221.6500,226.3400,60412408
2024-07-03,220.0000,221.5500,219.0300,221.5500,37369801
2024-07-02,216.1500,220.3800,215.1000,220.2700,58046178
2024-07-01,212.0900,217.5100,211.9200,216.7500,60402929
2024-06-28,215.7700,216.0700,210.3000,210.6200,82542718
2024-06-27,214.6900,215.7395,212.3500,214.1000,49772707
2024-06-26,211.5000,214.8600,210.6400,213.2500,66213186
2024-06-25,209.1500,211.3800,208.6100,209.0700,56713868
2024-06-24,207.7200,212.7000,206.5900,208.1400,80727006
2024-06-21,210.3900,211.8900,207.1100,207.4900,246421353
2024-06-20,213.9300,214.2400,208.8500,209.6800,86172451
2024-06-18,217.5900,218.6300,213.0000,214.2900,79943254
2024-06-17,213.3700,218.9500,212.7200,216.6700,93728300
2024-06-14,213.8500,215.1700,211.3000,212.4900,70122748
2024-06-13,214.7400,216.7500,211.6000,214.2400,97862729
2024-06-12,207.3700,220.2000,206.9000,213.0700,198134293
2024-06-11,193.6500,207.1600,193.6300,207.1500,172373296
2024-06-10,196.9000,197.3000,192.1500,193.1200,97262077
2024-06-07,194.6500,196.9400,194.1400,196.8900,53103912
2024-06-06,195.6850,196.5000,194.1700,194.4800,41181753
2024-06-05,195.4000,196.9000,194.8700,195.8700,54156785
2024-06-04,194.6350,195.3200,193.0342,194.3500,47471445
2024-06-03,192.9000,194.9900,192.5200,194.0300,50080539
2024-05-31,191.4400,192.5700,189.9100,192.2500,75158277
2024-05-30,190.7600,192.1800,190.6300,191.2900,49947941
2024-05-29,189.6100,192.2470,189.5100,190.2900,53068016
2024-05-28,191.5100,193.0000,189.1000,189.9900,52280051
2024-05-24,188.8200,190.5800,188.0404,189.9800,36326975
